,Produit,Baseline (14-Feb-2020),Price (Latest date),Variation,Année,Mois
313,Fruit et Légume,3.27,3.28,0.31,2020,04
314,Fruit et Légume,5.32,5.53,3.95,2020,04
315,Fruit et Légume,120.53,126.43,4.9,2020,04
316,Fruit et Légume,10.45,10.49,0.38,2020,04
317,Fruit et Légume,2.97,3.11,4.71,2020,04
318,Fruit et Légume,5.73,6.04,5.41,2020,04
319,Fruit et Légume,1.54,1.58,2.38,2020,04
320,Fruit et Légume,11181.28,11622.11,3.94,2020,04
321,Fruit et Légume,6.2,6.57,5.97,2020,04
322,Fruit et Légume,7.14,7.05,-1.26,2020,04
323,Fruit et Légume,2.33,2.34,0.43,2020,04
324,Fruit et Légume,3.67,3.74,2.0,2020,04
325,Fruit et Légume,86.88,89.23,2.7,2020,04
326,Fruit et Légume,3893.65,4999.99,28.41,2020,04
327,Fruit et Légume,6.95,7.05,1.39,2020,04
328,Fruit et Légume,7.47,14.31,91.57,2020,04
329,Fruit et Légume,1134.81,1350.0,18.96,2020,04
330,Fruit et Légume,4.56,4.67,2.41,2020,04
331,Fruit et Légume,3.24,3.97,22.53,2020,04
332,Fruit et Légume,3.15,3.0,-4.76,2020,04
333,Fruit et Légume,4.67,4.92,5.35,2020,04
334,Fruit et Légume,79.91,79.83,-0.1,2020,04
335,Fruit et Légume,28.45,34.66,21.83,2020,04
336,Fruit et Légume,1.45,1.49,2.53,2020,04
337,Fruit et Légume,1.34,1.39,3.73,2020,04
338,Fruit et Légume,24.97,25.66,2.76,2020,04
339,Fruit et Légume,19.2,18.5,-3.65,2020,04
340,Fruit et Légume,39.88,50.0,25.38,2020,04
341,Fruit et Légume,0.57,0.62,8.77,2020,04
342,Fruit et Légume,2709.1,3135.68,15.75,2020,04
343,Fruit et Légume,84.24,87.11,3.41,2020,04
344,Fruit et Légume,12.5,13.78,10.24,2020,04
345,Fruit et Légume,5.77,5.79,0.4,2020,04
346,Fruit et Légume,23.37,23.39,0.09,2020,04
347,Fruit et Légume,4.13,4.23,2.42,2020,04
348,Fruit et Légume,4.92,4.94,0.41,2020,04
349,Fruit et Légume,134.11,139.24,3.83,2020,04
350,Fruit et Légume,6483.84,6499.99,0.25,2020,04
351,Fruit et Légume,7633.79,7576.07,-0.76,2020,04
352,Fruit et Légume,16.98,17.64,3.89,2020,04
353,Fruit et Légume,64.13,66.12,3.1,2020,04
354,Fruit et Légume,4.48,4.65,3.79,2020,04
355,Fruit et Légume,0.97,1.12,15.46,2020,04
356,Fruit et Légume,3.78,4.76,25.93,2020,04
357,Fruit et Légume,6.31,5.67,-10.14,2020,04
358,Fruit et Légume,64763.43,66693.5,2.98,2020,04
359,Fruit et Légume,349.68,360.08,2.98,2020,04
360,Fruit et Légume,816.74,879.25,7.65,2020,04
361,Fruit et Légume,22.27,23.19,4.13,2020,04
362,Fruit et Légume,22.63,25.13,11.05,2020,04
363,Fruit et Légume,3.75,4.34,15.73,2020,04
364,Fruit et Légume,7.72,7.72,0.0,2020,04
365,Fruit et Légume,4.07,4.08,0.25,2020,04
366,Fruit et Légume,4.83,5.62,16.36,2020,04
367,Fruit et Légume,66.22,70.83,6.96,2020,04
368,Fruit et Légume,1.8,1.87,3.89,2020,04
369,Fruit et Légume,98.08,101.21,3.2,2020,04
370,Fruit et Légume,1.5,1.5,0.0,2020,04
371,Fruit et Légume,7.92,8.09,2.15,2020,04
372,Fruit et Légume,69.27,70.7,2.07,2020,04
373,Fruit et Légume,456.41,463.21,1.49,2020,04
374,Fruit et Légume,4.34,4.39,1.15,2020,04
375,Fruit et Légume,2.25,2.28,1.52,2020,04
376,Fruit et Légume,1.36,1.46,7.35,2020,04
377,Fruit et Légume,2.17,2.24,3.16,2020,04
378,Fruit et Légume,1830.12,1833.34,0.18,2020,04
379,Fruit et Légume,163.92,166.64,1.66,2020,04
380,Fruit et Légume,1.88,1.92,2.13,2020,04
381,Fruit et Légume,0.84,0.88,4.76,2020,04
382,Fruit et Légume,3.77,3.77,0.0,2020,04
383,Fruit et Légume,1.72,1.74,1.16,2020,04
384,Fruit et Légume,2.24,2.54,13.33,2020,04
385,Fruit et Légume,3.0,3.0,0.0,2020,04
386,Fruit et Légume,9.24,12.99,40.58,2020,04
387,Fruit et Légume,15.13,16.38,8.26,2020,04
388,Fruit et Légume,5.89,6.19,5.09,2020,04
389,Fruit et Légume,8.0,8.58,7.25,2020,04
390,Fruit et Légume,17.85,20.0,12.04,2020,04
391,Fruit et Légume,3.91,4.07,4.06,2020,04
392,Fruit et Légume,3.94,4.02,2.07,2020,04
393,Fruit et Légume,1079.99,1185.39,9.76,2020,04
394,Fruit et Légume,12.95,13.49,4.15,2020,04
395,Fruit et Légume,1502.14,1533.34,2.08,2020,04
396,Fruit et Légume,1351.27,1733.34,28.27,2020,04
397,Fruit et Légume,4.34,4.34,0.0,2020,04
398,Fruit et Légume,6.21,6.66,7.25,2020,04
399,Fruit et Légume,6043.18,6335.32,4.83,2020,04
400,Fruit et Légume,273.47,275.0,0.56,2020,04
401,Fruit et Légume,2313.64,2453.49,6.04,2020,04
402,Fruit et Légume,4.22,4.23,0.24,2020,04
403,Fruit et Légume,6.48,6.45,-0.44,2020,04
404,Fruit et Légume,8.77,8.93,1.82,2020,04
405,Fruit et Légume,1.81,1.87,3.31,2020,04
406,Fruit et Légume,30.85,31.96,3.6,2020,04
407,Fruit et Légume,2.29,2.31,0.87,2020,04
408,Fruit et Légume,749.57,716.66,-4.39,2020,04
409,Fruit et Légume,22.44,22.42,-0.09,2020,04
410,Fruit et Légume,18.38,18.85,2.56,2020,04
411,Fruit et Légume,120.51,127.55,5.85,2020,04
412,Fruit et Légume,259.43,267.3,3.03,2020,04
413,Fruit et Légume,2.06,2.01,-2.43,2020,04
414,Fruit et Légume,23.48,24.11,2.7,2020,04
415,Fruit et Légume,1.64,1.71,4.36,2020,04
416,Fruit et Légume,1.06,1.1,3.77,2020,04
417,Fruit et Légume,4.07,4.25,4.42,2020,04
418,Fruit et Légume,1.98,2.05,3.54,2020,04
419,Fruit et Légume,4.92,5.78,17.48,2020,04
420,Fruit et Légume,2.56,2.65,3.52,2020,04
421,Fruit et Légume,23.31,23.32,0.04,2020,04
422,Fruit et Légume,1252.88,1250.0,-0.23,2020,04
423,Fruit et Légume,1.78,1.82,2.49,2020,04
424,Fruit et Légume,2.61,2.7,3.61,2020,04
425,Fruit et Légume,3.45,4.45,28.99,2020,04
426,Fruit et Légume,9.71,13.49,38.93,2020,04
427,Fruit et Légume,1.33,1.32,-0.75,2020,04
428,Fruit et Légume,3.51,3.51,0.0,2020,04
429,Fruit et Légume,125.69,125.58,-0.09,2020,04
430,Fruit et Légume,1375.0,1375.0,0.0,2020,04
431,Fruit et Légume,2000.67,2000.01,-0.03,2020,04
432,Fruit et Légume,1.4,1.44,3.06,2020,04
433,Fruit et Légume,11.45,18.78,64.02,2020,04
434,Fruit et Légume,30.03,30.0,-0.1,2020,04
435,Fruit et Légume,17.05,17.89,4.9,2020,04
436,Fruit et Légume,3.0,3.0,0.0,2020,04
437,Fruit et Légume,4.3,4.3,0.0,2020,04
438,Fruit et Légume,901.31,899.99,-0.15,2020,04
439,Fruit et Légume,27.87,29.89,7.25,2020,04
440,Fruit et Légume,2.46,2.56,4.07,2020,04
441,Fruit et Légume,8.94,9.63,7.72,2020,04
442,Fruit et Légume,2.34,3.57,52.56,2020,04
443,Fruit et Légume,319.04,325.43,2.0,2020,04
444,Fruit et Légume,33967.19,35561.98,4.7,2020,04
445,Fruit et Légume,1.31,1.57,19.85,2020,04
446,Fruit et Légume,132.56,137.56,3.77,2020,04
447,Fruit et Légume,2.1,2.16,2.86,2020,04
448,Fruit et Légume,1.33,1.18,-10.96,2020,04
449,Fruit et Légume,1372.3,1359.22,-0.95,2020,04
450,Fruit et Légume,306.62,328.04,6.98,2020,04
451,Fruit et Légume,9.81,10.14,3.36,2020,04
452,Fruit et Légume,1.76,1.8,2.03,2020,04
453,Fruit et Légume,908.78,909.63,0.09,2020,04
454,Fruit et Légume,1.38,1.48,7.25,2020,04
455,Fruit et Légume,738.89,751.93,1.76,2020,04
456,Fruit et Légume,470.76,482.56,2.51,2020,04
457,Fruit et Légume,253.04,236.07,-6.71,2020,04
458,Fruit et Légume,59.05,67.86,14.92,2020,04
459,Fruit et Légume,3.55,3.84,8.17,2020,04
460,Fruit et Légume,7854.6,7875.72,0.27,2020,04
461,Fruit et Légume,0.59,0.64,8.47,2020,04
462,Fruit et Légume,4.0,3.99,-0.25,2020,04
463,Fruit et Légume,1.84,1.87,1.63,2020,04
464,Fruit et Légume,9.8,9.85,0.51,2020,04
465,Fruit et Légume,14.64,14.29,-2.42,2020,04
466,Fruit et Légume,399.26,422.01,5.7,2020,04
467,Fruit et Légume,25.01,25.33,1.28,2020,04
468,Fruit et Légume,0.83,0.86,3.61,2020,04
469,Fruit et Légume,2.39,2.54,6.28,2020,04
470,Fruit et Légume,1.05,1.04,-0.95,2020,04
471,Fruit et Légume,36.16,37.24,2.99,2020,04
472,Fruit et Légume,12.32,12.28,-0.32,2020,04
473,Fruit et Légume,1.5,2.67,78.0,2020,04
474,Fruit et Légume,12.84,13.54,5.47,2020,04
475,Fruit et Légume,4463.92,5650.0,26.57,2020,04
476,Fruit et Légume,39.05,40.83,4.57,2020,04
477,Fruit et Légume,40.65,43.7,7.5,2020,04
478,Fruit et Légume,2.55,2.62,2.75,2020,04
479,Fruit et Légume,2.34,2.34,0.0,2020,04
480,Fruit et Légume,0.8,0.82,2.5,2020,04
481,Fruit et Légume,5793.67,5547.63,-4.25,2020,04
482,Fruit et Légume,133.31,138.56,3.93,2020,04
483,Fruit et Légume,769.6,725.24,-5.76,2020,04
484,Fruit et Légume,73.96,80.84,9.3,2020,04
485,Fruit et Légume,2971.77,3500.01,17.78,2020,04
486,Fruit et Légume,9.74,9.89,1.5,2020,04
487,Fruit et Légume,27.92,29.05,4.03,2020,04
